"Date","Day","HPQ","GOOGL","MSFT","IBM","INTC","ADBE","AMZN","AAPL"
1/4/10 12:00 AM,14612,23.819255828857422,313.6886901855469,30.950000762939453,132.4499969482422,20.8799991607666,37.09000015258789,133.89999389648438,30.572856903076172
1/5/10 12:00 AM,14613,23.919164657592773,312.30731201171875,30.959999084472656,130.85000610351562,20.8700008392334,37.70000076293945,134.69000244140625,30.625713348388672
1/6/10 12:00 AM,14614,23.696640014648438,304.4344482421875,30.770000457763672,130.0,20.799999237060547,37.619998931884766,132.25,30.13857078552246
1/7/10 12:00 AM,14615,23.70572280883789,297.34735107421875,30.450000762939453,129.5500030517578,20.600000381469727,36.88999938964844,130.0,30.082857131958008
1/8/10 12:00 AM,14616,23.88283348083496,301.3113098144531,30.65999984741211,130.85000610351562,20.829999923706055,36.689998626708984,133.52000427246094,30.28285789489746
1/11/10 12:00 AM,14619,23.81017303466797,300.8558654785156,30.270000457763672,129.47999572753906,20.950000762939453,36.209999084472656,130.30999755859375,30.015714645385742
1/12/10 12:00 AM,14620,23.60127067565918,295.5355224609375,30.06999969482422,130.50999450683594,20.610000610351562,35.65999984741211,127.3499984741211,29.674285888671875
1/13/10 12:00 AM,14621,23.714805603027344,293.8388366699219,30.350000381469727,130.22999572753906,20.959999084472656,36.279998779296875,129.11000061035156,30.092857360839844
1/14/10 12:00 AM,14622,23.84650230407715,295.22021484375,30.959999084472656,132.30999755859375,21.479999542236328,35.900001525878906,127.3499984741211,29.91857147216797
1/15/10 12:00 AM,14623,23.828338623046875,290.290283203125,30.860000610351562,131.77999877929688,20.799999237060547,35.869998931884766,127.13999938964844,29.41857147216797
1/19/10 12:00 AM,14627,23.955495834350586,294.1040954589844,31.100000381469727,134.13999938964844,21.049999237060547,36.95000076293945,127.61000061035156,30.719999313354492
1/20/10 12:00 AM,14628,23.710264205932617,290.4954833984375,30.59000015258789,130.25,21.079999923706055,36.4900016784668,125.77999877929688,30.247142791748047
1/21/10 12:00 AM,14629,23.292461395263672,291.7817687988281,30.010000228881836,129.0,20.84000015258789,35.81999969482422,126.62000274658203,29.724285125732422
1/22/10 12:00 AM,14630,22.38419532775879,275.2802734375,28.959999084472656,125.5,19.90999984741211,34.380001068115234,121.43000030517578,28.25
1/25/10 12:00 AM,14633,22.73387908935547,270.270263671875,29.31999969482422,126.12000274658203,20.31999969482422,34.15999984741211,120.30999755859375,29.010000228881836
1/26/10 12:00 AM,14634,22.58855628967285,271.4814758300781,29.5,125.75,20.0,33.939998626708984,119.4800033569336,29.420000076293945
1/27/10 12:00 AM,14635,22.456857681274414,271.3213195800781,29.670000076293945,126.33000183105469,20.239999771118164,33.13999938964844,122.75,29.6971435546875
1/28/10 12:00 AM,14636,21.7029972076416,267.41241455078125,29.15999984741211,123.75,19.920000076293945,32.88999938964844,126.02999877929688,28.469999313354492
1/29/10 12:00 AM,14637,21.376022338867188,265.2352294921875,28.18000030517578,122.38999938964844,19.399999618530273,32.29999923706055,125.41000366210938,27.437143325805664
2/1/10 12:00 AM,14640,21.721162796020508,266.7767639160156,28.40999984741211,124.66999816894531,19.610000610351562,32.47999954223633,118.87000274658203,27.818571090698242
2/2/10 12:00 AM,14641,22.066303253173828,265.8258361816406,28.459999084472656,125.52999877929688,19.90999984741211,32.97999954223633,118.12000274658203,27.979999542236328
2/3/10 12:00 AM,14642,22.1298828125,270.6806945800781,28.6299991607666,125.66000366210938,19.68000030517578,32.97999954223633,119.0999984741211,28.461427688598633
2/4/10 12:00 AM,14643,21.35785675048828,263.6536560058594,27.84000015258789,123.0,19.020000457763672,32.2400016784668,115.94000244140625,27.435714721679688
2/5/10 12:00 AM,14644,21.48955535888672,265.9109191894531,28.020000457763672,123.5199966430664,19.469999313354492,32.77000045776367,117.38999938964844,27.9228572845459
2/8/10 12:00 AM,14647,21.612171173095703,267.00201416015625,27.719999313354492,121.87999725341797,19.350000381469727,32.04999923706055,116.83000183105469,27.731428146362305
2/9/10 12:00 AM,14648,21.852861404418945,268.4884948730469,28.010000228881836,123.20999908447266,19.649999618530273,32.310001373291016,118.02999877929688,28.027143478393555
2/10/10 12:00 AM,14649,21.80744743347168,267.49249267578125,27.989999771118164,122.80999755859375,19.690000534057617,32.7599983215332,117.36000061035156,27.874286651611328
2/11/10 12:00 AM,14650,22.079927444458008,268.4684753417969,28.1200008392334,123.7300033569336,20.059999465942383,32.63999938964844,120.08999633789062,28.381427764892578
2/12/10 12:00 AM,14651,22.007266998291016,266.8268127441406,27.93000030517578,124.0,20.43000030517578,31.450000762939453,119.66000366210938,28.625713348388672
2/16/10 12:00 AM,14655,22.452316284179688,270.9209289550781,28.350000381469727,125.2300033569336,20.719999313354492,31.809999465942383,117.52999877929688,29.05714225769043
2/17/10 12:00 AM,14656,22.761125564575195,269.3743591308594,28.59000015258789,126.33000183105469,20.65999984741211,32.33000183105469,116.30999755859375,28.935714721679688
2/18/10 12:00 AM,14657,23.074478149414062,271.88189697265625,28.969999313354492,127.80999755859375,20.84000015258789,33.2400016784668,118.08000183105469,28.989999771118164
2/19/10 12:00 AM,14658,23.06539535522461,270.6506652832031,28.770000457763672,127.19000244140625,20.81999969482422,33.880001068115234,117.5199966430664,28.809999465942383
2/22/10 12:00 AM,14661,22.96094512939453,271.6716613769531,28.729999542236328,126.8499984741211,20.8700008392334,33.70000076293945,118.01000213623047,28.631427764892578
2/23/10 12:00 AM,14662,22.761125564575195,267.80279541015625,28.329999923706055,126.45999908447266,20.389999389648438,33.439998626708984,117.23999786376953,28.15142822265625
